FID,OID_1,lon,lat,time,content,tags,FID_1,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
73,281,-73.871094999999997,40.733224000000000,Sun Nov 09 03:09:45 +0000 2014,If they ask tell em I ain't mad I'm just sad it ain't work out,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
74,292,-73.871171000000004,40.733108000000001,Sun Nov 09 03:11:49 +0000 2014,Copped this for grandma cause I want my personal lasagna this year lmao http://t.co/ClKp32eNye,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
75,319,-73.872254999999996,40.732551000000001,Sun Nov 09 03:15:58 +0000 2014,Build me up ... Break me down,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
76,479,-73.865385000000003,40.734515999999999,Sun Nov 09 03:43:31 +0000 2014,"Go watch @Nashgrier, @JackJackJohnson @jackgilinsky video, and give it a thumbs up, it was hilarious #NashAndJacksNewVideo",['NashAndJacksNewVideo'],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
77,767,-73.870281000000006,40.733328999999998,Sun Nov 09 04:36:50 +0000 2014,This jacket got a brother doing pros and cons for if I should buy! #LRG #vscocam http://t.co/YfQSunQOfh,"['LRG', 'vscocam']",28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
78,916,-73.883509000000004,40.743321999999999,Sun Nov 09 05:08:03 +0000 2014,"à¸à¸´à¸™à¸‚à¹‰à¸²à¸§ à¸­à¸´à¹ˆà¸¡à¹à¸›à¸£à¹‰ ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Š (@ Paet Rio in Queens, NY) https://t.co/QOl2y3Yq2V",[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
79,965,-73.882676000000004,40.742744000000002,Sun Nov 09 05:22:32 +0000 2014,It's gonna be a good Sunday.,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
80,"1,007",-73.869580999999997,40.733614000000003,Sun Nov 09 05:31:51 +0000 2014,Coworker pettiness blows my mind.,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
81,"1,482",-73.878299999999996,40.736400000000003,Tue Nov 11 16:19:09 +0000 2014,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words,â€¦ http://t.co/XW6ARn82Rp",[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
82,"1,516",-73.865854999999996,40.734082999999998,Tue Nov 11 16:28:27 +0000 2014,I have no idea why,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
83,"1,363",-73.900723999999997,40.812342000000001,Tue Nov 11 15:42:37 +0000 2014,THE FIRST GAME IS NEXT WEDSDAY AH,[],30,2,Bronx,005,BX33,Longwood,"18,982.129300600001000","10,732,451.844200000000000"
84,"2,170",-73.899012999999997,40.823149999999998,Thu Nov 13 17:25:40 +0000 2014,I dont want to go back to my old ways,[],30,2,Bronx,005,BX33,Longwood,"18,982.129300600001000","10,732,451.844200000000000"
85,11,-73.955927000000003,40.775471000000003,Sun Nov 09 02:19:54 +0000 2014,Kombinelerini iptal etmek ne demek ya azÄ±na sÄ±Ã§tÄ±nÄ±z ortalÄ±ÄŸÄ±n batÄ±rdÄ±nÄ±z be yeter artÄ±k,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
86,148,-73.948397999999997,40.781225999999997,Sun Nov 09 02:44:12 +0000 2014,@katiewalkr nice,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
87,209,-73.947100000000006,40.776597000000002,Sun Nov 09 02:54:31 +0000 2014,@OrphanBlack that's rude! What if you only have one eye!! #rachelduncan #eyeeyerachel,"['rachelduncan', 'eyeeyerachel']",31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
88,309,-73.948576000000003,40.781857000000002,Sun Nov 09 03:09:44 +0000 2014,@kalakiriot @cycfitness glad you enjoyed class!! It was actually a new Taylor Swift song ""Out of the Woods"" ðŸ‘ðŸ‘ðŸ’ªðŸ’ª,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
89,391,-73.951859999999996,40.777137000000003,Sun Nov 09 03:32:42 +0000 2014,"â€œ@BuzzFeed: keychain sriracha bottle is the answer to your hot sauce prayers
http://t.co/8Z4dSSU5Eg http://t.co/bZeMI0m3v8â€ @laurenrogak",[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
90,489,-73.952290000000005,40.772840000000002,Sun Nov 09 03:45:37 +0000 2014,Italians yelling at each other and slamming stuff around the pizzeria. @ Italian Village Pizzeria Rest http://t.co/WHEV9ofDzW,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
91,586,-73.947068999999999,40.780524000000000,Sun Nov 09 04:02:39 +0000 2014,@SsssamanthaaMUA Your videos may have inspired me to put on red lipstick while drinking vino &amp; watching sleeping beauty. Just sayin',[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
92,663,-73.952055999999999,40.773268000000002,Sun Nov 09 04:20:14 +0000 2014,@JCOrbista kabay pa haha. may varsity da sa inyo?,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
93,714,-73.955697000000001,40.776425000000003,Sun Nov 09 04:29:30 +0000 2014,Suddenly depressed ""Oxford comma"" doesn't work as a knuckle tattoo.,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
94,924,-73.955748999999997,40.776161999999999,Sun Nov 09 05:09:03 +0000 2014,"::scrolling though pictures of burritos::

Mmmm yeah that's good.",[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
95,"1,263",-73.949894999999998,40.781345999999999,Tue Nov 11 15:17:47 +0000 2014,Vintage Dior Couture to the Highest Bidder! Inside Wednesdayâ€™s Augusta Historic Fashion Auction http://t.co/rXxCXfryKy via @voguemagazine,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
96,"1,328",-73.947564999999997,40.780974999999998,Tue Nov 11 15:37:57 +0000 2014,@Seamless ðŸš¨ðŸš¨ðŸš¨ðŸš¨ðŸš¨RING THE ALARMðŸš¨ðŸš¨ðŸš¨ðŸš¨ðŸš¨,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
97,"1,375",-73.954877999999994,40.773547999999998,Tue Nov 11 15:47:21 +0000 2014,Lol. Cunt,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
98,"1,559",-73.947778999999997,40.778770000000002,Tue Nov 11 16:40:54 +0000 2014,my bby http://t.co/jz5d9D7syD,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
99,"1,623",-73.952074999999994,40.773229000000001,Tue Nov 11 17:01:37 +0000 2014,i have 2 years #icanwait,['icanwait'],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
100,"1,721",-73.948037999999997,40.779639000000003,Tue Nov 11 17:37:21 +0000 2014,Happy Veterans Day.. And a big thanks to all those who make us feel safe in our homes everyday ðŸ‡ºðŸ‡¸ðŸ”·ðŸ”´,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
101,"1,857",-73.947652000000005,40.779291000000001,Tue Nov 11 18:14:39 +0000 2014,@fkingval i had it  2 weeks ago.,[],31,1,Manhattan,061,MN32,Yorkville,"17,409.210114699999000","13,594,779.769800000000000"
